"Time.period","Region","type of journey","value","amount of journeys (thousands)","sort","journey_scope"
"Apr 1995 to Mar 1996","East Midlands","North East thousands","153",153,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","North West thousands","1,265",1265,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Yorkshire and the Humber thousands","1,430",1430,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","West Midlands thousands","1,513",1513,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","East England thousands","736",736,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","London thousands","3,831",3831,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","South East thousands","614",614,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","South West thousands","241",241,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Wales thousands","109",109,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Scotland thousands","147",147,1,"Between regions"
"Apr 1995 to Mar 1996","East Midlands","Journeys within East Midlands thousands","4,430",4430,1,"Within region"
"Apr 1995 to Mar 1996","East England","North East thousands","245",245,1,"Between regions"
"Apr 1995 to Mar 1996","East England","North West thousands","502",502,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Yorkshire and the Humber thousands","455",455,1,"Between regions"
"Apr 1995 to Mar 1996","East England","East Midlands thousands","736",736,1,"Between regions"
"Apr 1995 to Mar 1996","East England","West Midlands thousands","363",363,1,"Between regions"
"Apr 1995 to Mar 1996","East England","London thousands","61,807",61807,1,"Between regions"
"Apr 1995 to Mar 1996","East England","South East thousands","1,819",1819,1,"Between regions"
"Apr 1995 to Mar 1996","East England","South West thousands","339",339,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Wales thousands","120",120,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Scotland thousands","282",282,1,"Between regions"
"Apr 1995 to Mar 1996","East England","Journeys within East England thousands","12,163",12163,1,"Within region"
"Apr 1995 to Mar 1996","London","North East thousands","1,179",1179,1,"Between regions"
"Apr 1995 to Mar 1996","London","North West thousands","4,326",4326,1,"Between regions"
"Apr 1995 to Mar 1996","London","Yorkshire and the Humber thousands","2,705",2705,1,"Between regions"
